Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2011,"Nationwide (States, DC, and Territories)",15.4,5.7,25,52.9,
2011,Nationwide (States and DC),15.4,5.7,25.1,52.9,
2011,Arizona,13.1,6.2,24.9,55.9,"{'human_address': '{""address"":""Arizona"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '34.86596999961597', 'longitude': '-111.76380999973156'}"
2011,California,8.6,5,23.9,62.5,"{'human_address': '{""address"":""California"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.638300000444815', 'longitude': '-120.99958999997835'}"
2011,Missouri,19.4,5.6,25,50,"{'human_address': '{""address"":""Missouri"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '38.63578999960896', 'longitude': '-92.5663000000448'}"
2011,Wisconsin,14.9,6,26.2,52.9,"{'human_address': '{""address"":""Wisconsin"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '44.39319000021851', 'longitude': '-89.81636999977553'}"
2011,Kansas,16.9,5.1,22.4,55.6,"{'human_address': '{""address"":""Kansas"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '38.34774000000118', 'longitude': '-98.20077999969709'}"
2011,Kentucky,23.6,5.4,24.3,46.8,"{'human_address': '{""address"":""Kentucky"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.645969999815804', 'longitude': '-84.77496999996538'}"
2011,Florida,13.5,5.8,28,52.8,"{'human_address': '{""address"":""Florida"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '28.932039999846268', 'longitude': '-81.9289599999039'}"
2011,Tennessee,18.3,4.7,23.8,53.2,"{'human_address': '{""address"":""Tennessee"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '35.68094000038087', 'longitude': '-85.77449000011325'}"
2011,Nevada,18,4.9,24.6,52.5,"{'human_address': '{""address"":""Nevada"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '39.49323999972637', 'longitude': '-117.07183999971608'}"
2011,Delaware,16.3,5.5,28.3,50,"{'human_address': '{""address"":""Delaware"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '39.00883000020451', 'longitude': '-75.57774000040052'}"
2011,Virginia,15,5.9,23.6,55.5,"{'human_address': '{""address"":""Virginia"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.54268000028196', 'longitude': '-78.45789000012326'}"
2011,Illinois,14.3,6.6,24.4,54.7,"{'human_address': '{""address"":""Illinois"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.485010000411364', 'longitude': '-88.99770999971656'}"
2011,Iowa,15.5,4.8,25,54.6,"{'human_address': '{""address"":""Iowa"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '42.469390000048634', 'longitude': '-93.81649000001335'}"
2011,North Carolina,15.6,6.2,24.8,53.4,"{'human_address': '{""address"":""North Carolina"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '35.46624999963797', 'longitude': '-79.1593199999179'}"
2011,Louisiana,19.3,6.4,22,52.3,"{'human_address': '{""address"":""Louisiana"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '31.31265999975932', 'longitude': '-92.44567999993188'}"
