"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age"
"1","F411G","R&D","W6837Y",1,2,2,3,2,4,4,52264,2,39
"2","W779U","Ethics","V1748V",3,1,4,5,4,3,3,80072,10,49
"3","Q427W","DSI","I511L",2,2,3,4,3,3,2,68432,7,39
"4","H115G","Finance","Z5080X",2,3,2,4,3,5,4,53560,7,43
"5","E288E","Ethics","V1748V",5,4,6,6,6,6,NA,76232,9,35
"6","J541D","R&D","V4203Y",1,4,3,3,3,5,6,71409,8,35
"7","U207U","Finance","Z5080X",5,4,6,7,7,5,NA,107540,10,25
"8","S245M","Finance","V1626X",2,1,4,3,3,2,2,129520,2,29
"9","E791P","R&D","X8503X",2,1,4,4,3,3,NA,64915,9,38
"10","H817V","R&D","V4859W",3,5,5,4,5,7,NA,103946,7,47
"11","O175E","Finance","V1626X",4,3,4,6,5,4,5,48581,1,49
"12","R865D","Ethics","W4935V",5,2,7,7,7,4,4,50769,6,30
"13","Y753V","Finance","Z4040W",2,5,3,4,3,7,NA,58594,5,47
"14","V240N","Finance","Z4040W",5,1,7,6,7,3,2,47695,3,35
"15","S858P","Finance","Z5440X",2,2,4,5,3,3,3,77392,9,25
"16","F926A","R&D","V4859W",5,1,7,6,6,3,3,48114,7,40
"17","C135L","Health","V3988Z",2,4,4,4,4,5,6,58470,3,35
"18","M118T","R&D","V4859W",5,1,7,6,7,3,3,49315,3,32
"19","H191X","Finance","Z4040W",5,1,6,7,7,3,2,57263,0,54
"20","K151K","Finance","Z4040W",5,1,7,6,6,2,3,136649,1,33
"21","G130L","Ethics","V5401Z",4,5,6,5,5,6,7,73648,10,53
"22","K331C","Finance","Z5440X",2,2,3,3,4,3,3,74556,9,22
"23","N146C","DSI","Y7924Z",4,1,6,6,5,3,3,57410,6,24
"24","H700G","R&D","V4859W",5,1,6,7,6,3,2,56783,4,38
"25","H882E","Finance","Z4040W",1,1,3,3,3,2,3,65549,8,31
"26","I437A","R&D","V4203Y",1,4,3,3,3,6,6,55990,0,31
"27","G235U","Finance","Z4040W",1,3,3,3,3,4,5,78798,4,46
"28","J356R","Finance","Z4040W",2,1,4,4,3,2,3,116262,3,27
"29","G978Z","Ethics","V5401Z",3,5,4,4,5,7,7,58571,2,33
"30","C230K","R&D","X2508W",1,1,3,3,3,3,2,53149,0,45
"31","B542J","DSI","Y7924Z",5,2,6,6,7,3,3,111205,0,35
"32","N436H","Finance","Z4040W",4,3,5,5,5,5,5,69930,3,24
"33","X631Q","Ethics","W4935V",3,5,5,5,4,7,7,60165,6,44
"34","A654L","R&D","X2508W",2,5,3,2,4,6,6,79230,9,43
"35","P207V","Ethics","V5401Z",1,3,3,2,3,5,5,54722,4,41
"36","K288R","Finance","Z5440X",5,5,5,6,7,6,NA,106819,4,53
"37","N137H","R&D","X2508W",3,1,5,4,4,2,3,55215,3,32
"38","A199C","Finance","Z5080X",4,5,4,6,6,7,NA,57222,7,32
"39","M962K","Health","X3361V",5,3,6,6,6,5,3,105500,4,41
"40","H240K","Finance","W7052V",2,3,4,3,3,4,4,47930,5,47
"41","C367M","Finance","Z4040W",4,4,6,5,6,6,NA,52182,1,22
"42","L595Z","Health","Y9874X",1,1,2,3,2,2,3,46224,4,55
"43","D982N","Health","Y9874X",2,3,3,4,3,5,4,83037,10,25
"44","N934H","Finance","Z5440X",3,2,4,5,4,4,4,57270,0,36
"45","C255K","Finance","Z4040W",5,4,6,7,7,5,6,70201,8,30
"46","R359E","Finance","V1626X",1,3,2,2,4,4,4,74638,1,23
"47","B554U","Health","X3361V",2,1,4,4,4,2,2,53949,6,30
"48","P583H","Ethics","V5401Z",5,1,6,6,6,2,3,53163,6,51
"49","B523N","R&D","W6837Y",2,3,3,4,3,4,5,139026,8,54
"50","N272I","Health","X3361V",3,5,5,5,5,6,6,144553,5,49
"51","Z769A","R&D","W6837Y",3,4,6,5,4,5,5,125717,7,27
"52","B331M","Health","V3988Z",5,5,7,7,7,7,NA,104543,7,35
"53","P111Q","Finance","Z4040W",4,3,6,6,6,5,5,72354,9,44
"54","W910F","Finance","V1626X",3,4,4,5,5,6,6,130583,10,31
"55","P716I","Finance","W7052V",5,3,7,7,6,5,NA,69791,9,49
"56","C382A","Finance","Z5080X",4,3,5,5,6,5,NA,75559,8,35
"57","A694N","Finance","Z4040W",5,3,6,6,7,5,4,73086,8,51
"58","Q327Z","R&D","V4859W",4,5,5,5,6,7,NA,74745,5,39
"59","I580K","Health","Y9874X",1,4,3,3,2,5,5,58653,3,28
"60","W823D","Health","Y9874X",1,2,2,3,2,4,4,51044,3,55
"61","Q203J","Ethics","W4935V",3,5,4,4,5,6,6,72898,10,52
"62","G835X","DSI","Y7924Z",5,4,7,6,6,5,NA,47003,6,32
"63","L683Z","Finance","Z5440X",2,2,4,4,3,3,4,47662,6,32
"64","C532P","Ethics","V1748V",3,1,4,5,4,4,2,59232,1,38
"65","O965G","Finance","Z5080X",2,4,3,3,3,6,5,47202,2,49
"66","T736U","R&D","V4203Y",4,4,6,5,6,6,5,50837,6,52
"67","O781F","Health","Y9874X",2,3,3,3,3,4,4,106139,7,41
"68","G264L","R&D","V4859W",1,1,2,3,2,3,2,69653,1,54
"69","U380A","Finance","Z4040W",1,4,2,1,2,6,5,78119,8,25
"70","N340G","Ethics","V1748V",3,3,5,5,5,4,4,128769,3,42
"71","F966R","Ethics","V1748V",1,1,3,2,3,3,3,54340,3,54
"72","K705Z","Ethics","W4935V",5,3,7,6,7,6,4,58922,0,29
"73","M882I","R&D","V4203Y",2,1,4,4,4,2,3,75500,8,54
