"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY"
"1","F411G","R&D","W6837Y",1,2,2,3,2,4,4,52264,2,39,1,1,1
"2","W779U","Ethics","V1748V",3,1,4,5,4,3,3,80072,10,49,1,2,2
"3","Q427W","DSI","I511L",2,2,3,4,3,3,2,68432,7,39,2,3,2
"4","H115G","Finance","Z5080X",2,3,2,4,3,5,4,53560,7,43,2,1,2
"5","E288E","Ethics","V1748V",5,4,6,6,6,6,NA,76232,9,35,1,2,1
"6","J541D","R&D","V4203Y",1,4,3,3,3,5,6,71409,8,35,1,2,2
"7","U207U","Finance","Z5080X",5,4,6,7,7,5,NA,107540,10,25,2,3,2
"8","S245M","Finance","V1626X",2,1,4,3,3,2,2,129520,2,29,2,3,2
"9","E791P","R&D","X8503X",2,1,4,4,3,3,NA,64915,9,38,1,1,2
"10","H817V","R&D","V4859W",3,5,5,4,5,7,NA,103946,7,47,2,3,2
"11","O175E","Finance","V1626X",4,3,4,6,5,4,5,48581,1,49,2,1,2
"12","R865D","Ethics","W4935V",5,2,7,7,7,4,4,50769,6,30,1,1,1
"13","Y753V","Finance","Z4040W",2,5,3,4,3,7,NA,58594,5,47,2,2,1
"14","V240N","Finance","Z4040W",5,1,7,6,7,3,2,47695,3,35,2,1,2
"15","S858P","Finance","Z5440X",2,2,4,5,3,3,3,77392,9,25,1,2,2
"16","F926A","R&D","V4859W",5,1,7,6,6,3,3,48114,7,40,1,1,2
"17","C135L","Health","V3988Z",2,4,4,4,4,5,6,58470,3,35,1,2,2
"18","M118T","R&D","V4859W",5,1,7,6,7,3,3,49315,3,32,2,1,2
"19","H191X","Finance","Z4040W",5,1,6,7,7,3,2,57263,0,54,1,2,2
"20","K151K","Finance","Z4040W",5,1,7,6,6,2,3,136649,1,33,2,3,1
"21","G130L","Ethics","V5401Z",4,5,6,5,5,6,7,73648,10,53,1,1,2
"22","K331C","Finance","Z5440X",2,2,3,3,4,3,3,74556,9,22,2,2,2
"23","N146C","DSI","Y7924Z",4,1,6,6,5,3,3,57410,6,24,2,2,2
"24","H700G","R&D","V4859W",5,1,6,7,6,3,2,56783,4,38,2,2,2
"25","H882E","Finance","Z4040W",1,1,3,3,3,2,3,65549,8,31,2,1,2
"26","I437A","R&D","V4203Y",1,4,3,3,3,6,6,55990,0,31,1,2,1
"27","G235U","Finance","Z4040W",1,3,3,3,3,4,5,78798,4,46,2,3,2
"28","J356R","Finance","Z4040W",2,1,4,4,3,2,3,116262,3,27,2,3,2
