"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY","describeManager"
"1","F411G","R&D","W6837Y",1,2,2,3,2,4,4,52264,2,39,1,1,1,"c(""gleeful"", ""safe"", ""trustworthy"", ""funnier"", ""euphoric"")"
"2","W779U","Ethics","V1748V",3,1,4,5,4,3,3,80072,10,49,1,2,2,"c(""wonderful"", ""pleasing"", ""mature"", ""freewill"", ""grateful"")"
"3","Q427W","DSI","I511L",2,2,3,4,3,3,2,68432,7,39,2,3,2,"c(""villainous"", ""unkind"", ""insecure"", ""criminal"", ""difficult"")"
"4","H115G","Finance","Z5080X",2,3,2,4,3,5,4,53560,7,43,2,1,2,"c(""cherishable"", ""promising"", ""relaxer"", ""adventurous"", ""bright"")"
"5","E288E","Ethics","V1748V",5,4,6,6,6,6,NA,76232,9,35,1,2,1,"c(""freewill"", ""suave"", ""treasurable"", ""heartfelt"", ""freebie"")"
"6","J541D","R&D","V4203Y",1,4,3,3,3,5,6,71409,8,35,1,2,2,"c(""competitive"", ""wise"", ""natural"", ""dynamistic"", ""beneficiary"")"
"7","U207U","Finance","Z5080X",5,4,6,7,7,5,NA,107540,10,25,2,3,2,"c(""guiltless"", ""prettied"", ""responsive"", ""surest"", ""consolable"")"
"8","S245M","Finance","V1626X",2,1,4,3,3,2,2,129520,2,29,2,3,2,"c(""decisive"", ""devoted"", ""promissory"", ""remarkable"", ""jaunty"")"
"9","E791P","R&D","X8503X",2,1,4,4,3,3,NA,64915,9,38,1,1,2,"c(""determined"", ""merrier"", ""idealistic"", ""fumeless"", ""bravest"")"
"10","H817V","R&D","V4859W",3,5,5,4,5,7,NA,103946,7,47,2,3,2,"c(""exciting"", ""marvelous"", ""freebie"", ""visionary"", ""delectable"")"
"11","O175E","Finance","V1626X",4,3,4,6,5,4,5,48581,1,49,2,1,2,"c(""accomplished"", ""promising"", ""challenging"", ""restful"", ""dynamistic"")"
"12","R865D","Ethics","W4935V",5,2,7,7,7,4,4,50769,6,30,1,1,1,"c(""enterprising"", ""handsomer"", ""sunny"", ""devoted"", ""kindly"")"
"13","Y753V","Finance","Z4040W",2,5,3,4,3,7,NA,58594,5,47,2,2,1,"c(""good"", ""capable"", ""tensionless"", ""thankful"", ""trustworthy"")"
"14","V240N","Finance","Z4040W",5,1,7,6,7,3,2,47695,3,35,2,1,2,"c(""genial"", ""vested"", ""cheery"", ""glamorous"", ""ready"")"
"15","S858P","Finance","Z5440X",2,2,4,5,3,3,3,77392,9,25,1,2,2,"c(""responsible"", ""passional"", ""heavenward"", ""inviting"", ""substantial"")"
"16","F926A","R&D","V4859W",5,1,7,6,6,3,3,48114,7,40,1,1,2,"c(""helpful"", ""splendiferous"", ""nice"", ""better"", ""neat"")"
"17","C135L","Health","V3988Z",2,4,4,4,4,5,6,58470,3,35,1,2,2,"c(""harmless"", ""gorgeous"", ""curious"", ""jolly"", ""invincible"")"
"18","M118T","R&D","V4859W",5,1,7,6,7,3,3,49315,3,32,2,1,2,"c(""exclusive"", ""triumphal"", ""optimistic"", ""idealistic"", ""dedicated"")"
"19","H191X","Finance","Z4040W",5,1,6,7,7,3,2,57263,0,54,1,2,2,"c(""wise"", ""offenseless"", ""huggable"", ""better"", ""comedic"")"
"20","K151K","Finance","Z4040W",5,1,7,6,6,2,3,136649,1,33,2,3,1,"c(""pleasing"", ""special"", ""valuable"", ""merited"", ""divine"")"
"21","G130L","Ethics","V5401Z",4,5,6,5,5,6,7,73648,10,53,1,1,2,"c(""delectable"", ""straight"", ""jollier"", ""trustful"", ""beneficent"")"
"22","K331C","Finance","Z5440X",2,2,3,3,4,3,3,74556,9,22,2,2,2,"c(""complimentary"", ""warm"", ""lovable"", ""adventuresome"", ""funniest"")"
"23","N146C","DSI","Y7924Z",4,1,6,6,5,3,3,57410,6,24,2,2,2,"c(""relaxer"", ""serene"", ""prettiest"", ""freethinker"", ""joyful"")"
"24","H700G","R&D","V4859W",5,1,6,7,6,3,2,56783,4,38,2,2,2,"c(""medal"", ""tensionless"", ""trusting"", ""guiltless"", ""admirable"")"
"25","H882E","Finance","Z4040W",1,1,3,3,3,2,3,65549,8,31,2,1,2,"c(""prominent"", ""favorable"", ""methodical"", ""glad"", ""exciting"")"
"26","I437A","R&D","V4203Y",1,4,3,3,3,6,6,55990,0,31,1,2,1,"c(""merry"", ""nicest"", ""inquisitive"", ""splendiferous"", ""intellectualistic"")"
"27","G235U","Finance","Z4040W",1,3,3,3,3,4,5,78798,4,46,2,3,2,"c(""well"", ""painless"", ""resolvent"", ""perfectible"", ""palatable"")"
"28","J356R","Finance","Z4040W",2,1,4,4,3,2,3,116262,3,27,2,3,2,"c(""innocent"", ""smart"", ""excitative"", ""precious"", ""steadfast"")"
"29","G978Z","Ethics","V5401Z",3,5,4,4,5,7,7,58571,2,33,1,2,2,"c(""elegant"", ""resolute"", ""desired"", ""mirthful"", ""fantastic"")"
"30","C230K","R&D","X2508W",1,1,3,3,3,3,2,53149,0,45,1,1,1,"c(""scrumptious"", ""noble"", ""honour"", ""substantial"", ""natural"")"
"31","B542J","DSI","Y7924Z",5,2,6,6,7,3,3,111205,0,35,2,3,2,"c(""fab"", ""adventurous"", ""surest"", ""satisfiable"", ""gratifying"")"
"32","N436H","Finance","Z4040W",4,3,5,5,5,5,5,69930,3,24,1,3,2,"c(""sympathetic"", ""giggly"", ""enjoyable"", ""promissory"", ""invulnerable"")"
"33","X631Q","Ethics","W4935V",3,5,5,5,4,7,7,60165,6,44,2,3,2,"c(""brisk"", ""exciting"", ""supremacist"", ""livelong"", ""novel"")"
"34","A654L","R&D","X2508W",2,5,3,2,4,6,6,79230,9,43,2,2,2,"c(""resolute"", ""handsome"", ""favored"", ""interesting"", ""benevolent"")"
"35","P207V","Ethics","V5401Z",1,3,3,2,3,5,5,54722,4,41,2,1,2,"c(""friendliest"", ""opportune"", ""avid"", ""free"", ""determinately"")"
"36","K288R","Finance","Z5440X",5,5,5,6,7,6,NA,106819,4,53,2,3,2,"c(""easy"", ""fumeless"", ""joyous"", ""mandatory"", ""valuable"")"
"37","N137H","R&D","X2508W",3,1,5,4,4,2,3,55215,3,32,2,2,2,"c(""keen"", ""divine"", ""splendid"", ""divinatory"", ""tenderhearted"")"
"38","A199C","Finance","Z5080X",4,5,4,6,6,7,NA,57222,7,32,1,2,2,"c(""like"", ""advanced"", ""blessed"", ""wonderful"", ""salient"")"
"39","M962K","Health","X3361V",5,3,6,6,6,5,3,105500,4,41,2,3,1,"c(""advantageous"", ""winnable"", ""excitable"", ""gigglier"", ""vested"")"
"40","H240K","Finance","W7052V",2,3,4,3,3,4,4,47930,5,47,2,1,2,"c(""curious"", ""spirited"", ""stable"", ""devotional"", ""avid"")"
"41","C367M","Finance","Z4040W",4,4,6,5,6,6,NA,52182,1,22,2,1,2,"c(""brave"", ""wiser"", ""grateful"", ""blithe"", ""sociable"")"
"42","L595Z","Health","Y9874X",1,1,2,3,2,2,3,46224,4,55,1,1,2,"c(""liveliest"", ""blessed"", ""cheerful"", ""dynamometric"", ""pensive"")"
"43","D982N","Health","Y9874X",2,3,3,4,3,5,4,83037,10,25,2,3,2,"c(""avid"", ""affectionate"", ""alive"", ""fearless"", ""freethinker"")"
"44","N934H","Finance","Z5440X",3,2,4,5,4,4,4,57270,0,36,1,2,2,"c(""useful"", ""lovable"", ""jubilant"", ""harmonious"", ""cheerier"")"
"45","C255K","Finance","Z4040W",5,4,6,7,7,5,6,70201,8,30,2,1,2,"c(""determinate"", ""calmative"", ""divine"", ""irresistible"", ""champertous"")"
"46","R359E","Finance","V1626X",1,3,2,2,4,4,4,74638,1,23,2,3,2,"c(""delicious"", ""intense"", ""adequate"", ""debonair"", ""truthful"")"
"47","B554U","Health","X3361V",2,1,4,4,4,2,2,53949,6,30,2,1,1,"c(""beloved"", ""exclusive"", ""bravest"", ""solid"", ""impressive"")"
