"X","review","id"
1,"Firstly, the company culture and the people are fantastic - it is unlike anywhere else that I have worked. The work is interesting and varied (typical projects last about 5 weeks) and everyone is incredibly smart. REDACTED has been the continuous learning curved that I had hoped it would be.Secondly, the Frome office is ideal for me - it gives me the chance to live in the countryside around Bath and still work a London-style job. I was slightly apprehensive about leaving London at first, but I frequently work from the London office and travel up for client meetings. This provides the balance that I enjoy and I am unaware of any other consultancies that provide a similar opportunity. Like any consultancy, the hours can be long and unpredictable, but REDACTED will give you a day or two off after a gruelling project. From time to time you may work on a project / in an industry that you do not find very interesting, but it comes with the territory. NA","W472V"
2,"You can stay forever with minimal efforts.Life is relaxing in support specific projects here.Heaven for managers. Low salaryNo hikeNo promotiongoing 1 level above will waste your 5-6 yearsNo growth opportunitiesMinimum stabilitysmall small project contracts will make your life completely unstable Kindly focus on your key employees & promote them to retain with you. Timely promotion or salary hikes can lure them to stay but unfortunately none of this is being focused currently except acquisitions or migrations. I would strongly ask REDACTED management to focus on there employees else you will lose your true dignity.","S227N"
3,"Very flexible and very good pay for students on campus. I was also able to complete homework during work hours No cons. This is a great option for students trying to make some extra money while in school. Talk to your advisor and they will point you in the right direction Keep it up","N333E"
4,"ABSOLUTELY NONE for this crazy situation!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Where can I start,They are pathological lairs.Upper management is in denial of their current situation & waiting for miracle.Haven't paid some of us in 4 month & still making excesses, how it going to be different every month.Management is constantly on vacation & driving around the most expensive car, when people are struggling to make it day to day.For what I know this company will be dissolving very soon. Be honest to your self & your employees and make the right decision soon. Too many people suffered enough for so long.","K503P"
5,"New culture where people are held accountable is starting to take hold. A few people who were afraid of having to do their jobs have left. Insurance isn't the greatest. Some people afraid of the changes are very negative. Listen to all employees, not just management.","J845U"
6,"small and agile consulting firm, flat hierarchy, fast responsability for consultants, interesting business development and digitization projects, sophisticated c-level network in Switzerland available limited possibilities to gain international experience (heavy focus on Switzerland and a bit Germany), founder impact sometimes still present, less resources create more international experience possibilities, less senior management resources, more consultants recommended, more startup flair","O834K"
7,"Welcoming, friendly and a lovely place to work. Beautiful offices, supportive management and family like feel. The service that they provide to clients and candidates makes it a fabulous recruitment company to work for and I feel privileged that I had the opportunity to do so. They truly invest in their employees and provide the best training to develop their employees making FMC a very talented bunch! That I had to leave due to relocation.. N/A","S167E"
8,"If u have a good business idea company is flexible enough to lead and implement the ideaFriendly senior management Very hesitant to usebl technology.. still stuck in excel analysisNo growth opportunitiesEmployee having good visibility with senior management can grow NA","M198N"
9,"Easy work. Upper management micro manages way too much, but they are not invested in their employees at all. When plenty of other property managements offer better rewards. Salary is a joke. Bonuses are set up on a tier system that are affected by management and maintenance so it doesn't matter how much you lease. If one part of the team don't meet the numbers then everyone suffers. No room for real growth. Acknowledge the rising stars in the leasing. Stop treating them like the bottom of the totem pole and invest in people that prove themselves with dedication and hard work.","E201S"
10,"Nice manager. Good pay. All in all a great experience. I really don't have much bad to say. Didn't like some of coworkers, but most were okay. Keep doing what your doing. Don't be afraid to expand. Good products, nice people.","F945P"
