"id"|"team"|"manager"|"jobTasksSDSA"|"jobBalanceSDSA"|"jobPaySDSA"|"jobRecognitionSDSA"|"jobAdvancementSDSA"|"jobCoworkersSDSA"|"jobManagementSDSA"|"salary"|"tenure"
"1"|""|""|""|""|""|""|""|""|""|""|""|""
"2"|"W472V"|"Ethics"|"X8022Z"|"7"|"3"|"7"|"7"|"7"|"5"|"4"|"126460"|"6"
"3"|"S227N"|"DSI"|"V8472W"|"1"|"6"|"3"|"2"|"2"|"7"|"7"|"47749"|"1"
"4"|"N333E"|"Finance"|"X7645X"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"80828"|"6"
"5"|"K503P"|"Finance"|"Y4468Y"|"2"|"2"|"4"|"3"|"4"|"3"|"3"|"52852"|"6"
"6"|"J845U"|"R&D"|"X8066X"|"6"|"3"|"7"|"7"|"7"|"4"|"4"|"98429"|"10"
"7"|"O834K"|"Finance"|"Z7298V"|"3"|"3"|"4"|"4"|"4"|"4"|"3"|"45397"|"1"
"8"|"S167E"|"R&D"|"Z2464Y"|"2"|"3"|"3"|"4"|"3"|"4"|"5"|"171648"|"8"
"9"|"M198N"|"R&D"|"X3607X"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"53330"|"7"
"10"|"E201S"|"R&D"|"X3607X"|"3"|"6"|"4"|"3"|"4"|"7"|"7"|"145440"|"2"
"11"|"F945P"|"Finance"|"Y9641W"|"4"|"5"|"5"|"5"|"6"|"7"|"6"|"71567"|"8"
"12"|"J920O"|"DSI"|"I511L"|"2"|"7"|"3"|"3"|"3"|"7"|"5"|"47716"|"6"
"13"|"O984I"|"Health"|"V7487V"|"4"|"1"|"6"|"6"|"6"|"3"|NA|"49186"|"0"
"14"|"F604E"|"Finance"|"Z7298V"|"2"|"3"|"3"|"3"|"4"|"5"|"5"|"107938"|"4"
"15"|"Y348J"|"Finance"|"Y9641W"|"5"|"7"|"7"|"7"|"6"|"7"|NA|"78347"|"9"
"16"|"P595S"|"Finance"|"Y4468Y"|"5"|"6"|"7"|"7"|"7"|"7"|NA|"110369"|"7"
"17"|"Z508S"|"R&D"|"Z2464Y"|"3"|"5"|"3"|"4"|"5"|"6"|"7"|"103943"|"1"
"18"|"O649Q"|"R&D"|"V4497X"|"4"|"2"|"5"|"6"|"5"|"4"|"3"|"53714"|"4"
"19"|"D918A"|"Ethics"|"W7742X"|"1"|"4"|"2"|"4"|"1"|"6"|"5"|"52395"|"5"
"20"|"X269R"|"Finance"|"Z7298V"|"1"|"3"|"2"|"2"|"4"|"4"|"4"|"54730"|"3"
"21"|"P298G"|"R&D"|"V4497X"|"5"|"5"|"6"|"6"|"6"|"7"|"6"|"92393"|"0"
"22"|"Q920T"|"DSI"|"V8472W"|"4"|"5"|"5"|"6"|"6"|"7"|"6"|"54513"|"1"
"23"|"K219L"|"R&D"|"Z2464Y"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"75391"|"8"
"24"|"W572C"|"Finance"|"X7645X"|"2"|"1"|"3"|"5"|"4"|"3"|"2"|"56320"|"6"
"25"|"P292D"|"Health"|"W8102W"|"2"|"3"|"4"|"4"|"4"|"5"|NA|"59512"|"1"
