,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY"
"F411G","R&D","W6837Y",1,2,2,3,2,4,4,52264,2,39,1,1,1
"W779U","Ethics","V1748V",3,1,4,5,4,3,3,80072,10,49,1,2,2
"Q427W","DSI","I511L",2,2,3,4,3,3,2,68432,7,39,2,3,2
"H115G","Finance","Z5080X",2,3,2,4,3,5,4,53560,7,43,2,1,2
"E288E","Ethics","V1748V",5,4,6,6,6,6,,76232,9,35,1,2,1
"J541D","R&D","V4203Y",1,4,3,3,3,5,6,71409,8,35,1,2,2
"U207U","Finance","Z5080X",5,4,6,7,7,5,,107540,10,25,2,3,2
"S245M","Finance","V1626X",2,1,4,3,3,2,2,129520,2,29,2,3,2
"E791P","R&D","X8503X",2,1,4,4,3,3,,64915,9,38,1,1,2
"H817V","R&D","V4859W",3,5,5,4,5,7,,103946,7,47,2,3,2
"O175E","Finance","V1626X",4,3,4,6,5,4,5,48581,1,49,2,1,2
"R865D","Ethics","W4935V",5,2,7,7,7,4,4,50769,6,30,1,1,1
"Y753V","Finance","Z4040W",2,5,3,4,3,7,,58594,5,47,2,2,1
"V240N","Finance","Z4040W",5,1,7,6,7,3,2,47695,3,35,2,1,2
"S858P","Finance","Z5440X",2,2,4,5,3,3,3,77392,9,25,1,2,2
"F926A","R&D","V4859W",5,1,7,6,6,3,3,48114,7,40,1,1,2
"C135L","Health","V3988Z",2,4,4,4,4,5,6,58470,3,35,1,2,2
"M118T","R&D","V4859W",5,1,7,6,7,3,3,49315,3,32,2,1,2
"H191X","Finance","Z4040W",5,1,6,7,7,3,2,57263,0,54,1,2,2
"K151K","Finance","Z4040W",5,1,7,6,6,2,3,136649,1,33,2,3,1
"G130L","Ethics","V5401Z",4,5,6,5,5,6,7,73648,10,53,1,1,2
"K331C","Finance","Z5440X",2,2,3,3,4,3,3,74556,9,22,2,2,2
"N146C","DSI","Y7924Z",4,1,6,6,5,3,3,57410,6,24,2,2,2
"H700G","R&D","V4859W",5,1,6,7,6,3,2,56783,4,38,2,2,2
"H882E","Finance","Z4040W",1,1,3,3,3,2,3,65549,8,31,2,1,2
"I437A","R&D","V4203Y",1,4,3,3,3,6,6,55990,0,31,1,2,1
"G235U","Finance","Z4040W",1,3,3,3,3,4,5,78798,4,46,2,3,2
"J356R","Finance","Z4040W",2,1,4,4,3,2,3,116262,3,27,2,3,2
"G978Z","Ethics","V5401Z",3,5,4,4,5,7,7,58571,2,33,1,2,2
"C230K","R&D","X2508W",1,1,3,3,3,3,2,53149,0,45,1,1,1
"B542J","DSI","Y7924Z",5,2,6,6,7,3,3,111205,0,35,2,3,2
