"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY"
"1","W472V","Ethics","X8022Z",7,3,7,7,7,5,4,126460,6,30,2,3,2
"2","S227N","DSI","V8472W",1,6,3,2,2,7,7,47749,1,38,1,1,1
"3","N333E","Finance","X7645X",7,7,7,7,7,7,NA,80828,6,24,2,3,1
"4","K503P","Finance","Y4468Y",2,2,4,3,4,3,3,52852,6,35,1,1,2
"5","J845U","R&D","X8066X",6,3,7,7,7,4,4,98429,10,46,2,3,2
"6","O834K","Finance","Z7298V",3,3,4,4,4,4,3,45397,1,50,1,1,2
"7","S167E","R&D","Z2464Y",2,3,3,4,3,4,5,171648,8,34,2,3,2
"8","M198N","R&D","X3607X",7,4,7,7,7,5,6,53330,7,53,2,1,2
"9","E201S","R&D","X3607X",3,6,4,3,4,7,7,145440,2,22,2,3,1
"10","F945P","Finance","Y9641W",4,5,5,5,6,7,6,71567,8,42,2,2,2
"11","J920O","DSI","I511L",2,7,3,3,3,7,5,47716,6,25,1,1,2
"12","O984I","Health","V7487V",4,1,6,6,6,3,NA,49186,0,43,1,1,2
"13","F604E","Finance","Z7298V",2,3,3,3,4,5,5,107938,4,43,1,3,2
"14","Y348J","Finance","Y9641W",5,7,7,7,6,7,NA,78347,9,50,1,1,2
"15","P595S","Finance","Y4468Y",5,6,7,7,7,7,NA,110369,7,36,2,3,2
"16","Z508S","R&D","Z2464Y",3,5,3,4,5,6,7,103943,1,23,2,3,2
"17","O649Q","R&D","V4497X",4,2,5,6,5,4,3,53714,4,28,1,1,2
"18","D918A","Ethics","W7742X",1,4,2,4,1,6,5,52395,5,49,2,1,2
"19","X269R","Finance","Z7298V",1,3,2,2,4,4,4,54730,3,45,2,2,2
"20","P298G","R&D","V4497X",5,5,6,6,6,7,6,92393,0,24,2,3,2
"21","Q920T","DSI","V8472W",4,5,5,6,6,7,6,54513,1,46,1,1,1
"22","K219L","R&D","Z2464Y",6,6,7,7,7,7,NA,75391,8,22,1,2,2
"23","W572C","Finance","X7645X",2,1,3,5,4,3,2,56320,6,50,1,2,2
"24","P292D","Health","W8102W",2,3,4,4,4,5,NA,59512,1,35,1,2,2
"25","V199I","Finance","X7645X",7,3,7,7,7,4,NA,99189,5,36,2,3,1
"26","O699Q","Finance","Y7685W",6,6,7,7,7,7,7,55078,3,44,2,2,2
"27","K944D","Finance","Y4468Y",2,1,3,4,4,3,3,52338,5,24,1,1,2
"28","Q312G","Ethics","W7742X",7,3,7,7,7,5,4,64981,9,51,1,1,2
"29","O731D","Finance","Y9641W",3,7,5,5,5,7,7,127198,8,46,2,3,2
"30","O544V","Finance","Y9641W",5,4,6,7,6,5,6,47630,4,24,2,1,2
"31","X278H","Ethics","X8022Z",7,4,7,7,7,6,NA,56114,7,52,1,2,2
"32","U271G","Finance","Y9641W",1,5,2,3,2,7,7,53711,2,27,1,1,1
"33","V190W","Health","Z4101Z",3,4,4,5,4,6,NA,57151,2,36,2,2,2
"34","P713D","Finance","Z7298V",6,6,7,7,7,7,NA,56362,2,34,1,2,2
"35","D612F","Ethics","W2205Z",1,4,3,3,3,5,6,149939,4,46,2,3,2
"36","A392M","R&D","X8066X",1,4,3,3,3,6,6,48431,7,33,1,1,2
"37","M452T","R&D","Z2464Y",2,7,3,3,4,7,7,74136,2,48,2,3,2
"38","Z591L","R&D","V4497X",6,6,7,7,7,7,NA,109473,2,55,2,3,1
"39","F850G","Ethics","X8022Z",7,2,7,7,7,4,4,46336,1,30,2,1,2
"40","F448U","R&D","V4497X",5,2,7,7,7,4,3,54901,3,50,1,2,2
"41","R113O","R&D","X3607X",5,1,7,6,7,4,2,98771,1,49,2,3,2
"42","Z239I","R&D","Y3553W",5,4,6,7,7,6,6,140545,6,50,2,3,2
"43","H885W","Ethics","W2205Z",2,4,4,4,3,6,6,52082,1,48,1,1,1
"44","I242N","R&D","V4497X",3,4,5,4,5,6,5,57987,3,49,2,2,2
"45","Z380H","Finance","Y4468Y",2,2,4,4,4,4,3,166688,8,51,2,3,2
"46","D558Z","Ethics","W2205Z",4,6,6,5,6,7,NA,50242,3,50,1,1,1
"47","Q624A","Finance","Y9641W",1,6,3,2,2,7,7,55701,2,38,2,2,2
"48","I473H","R&D","X3607X",4,5,5,5,6,7,7,56434,1,26,2,2,2
"49","L279F","R&D","X8066X",6,1,7,7,6,3,3,52514,7,26,1,1,2
"50","I449L","R&D","V4497X",2,3,3,3,3,4,5,91790,3,32,2,3,2
"51","L539X","Ethics","W2205Z",3,5,4,4,5,6,7,64355,10,53,1,1,2
"52","U339N","R&D","X8066X",4,7,5,6,6,7,7,69519,9,33,1,1,1
"53","X368K","Ethics","W2205Z",3,3,5,4,4,5,4,116693,10,41,2,3,2
"54","H639N","R&D","Z2464Y",3,3,4,5,4,6,5,135329,6,36,2,3,2
"55","O533O","R&D","Z2464Y",3,6,4,4,4,7,7,57085,7,55,1,2,2
"56","T921J","DSI","V8472W",3,4,5,4,4,5,5,54143,4,41,1,2,2
"57","O485G","Finance","Y4468Y",4,3,5,5,5,3,4,54226,4,30,1,2,2
