"","review","id"
"1","A great group of smart and driven people.. Poor communication and leadership is detached.. NA","W472V"
"2","Provided a stepping stone toward a more promising career, the best time at the company, was leaving.. It seems as if there is a lacking management work ethic within the company. Idiots, hiring more idiots.As a consequence, entire departments are brought together consisting of even more idiots. Bringing in staff who are not qualified to do the job, staff who are lazy, lacking work ethic, and have no get up and go. Progression, and learning are none existant.Senior management are completely inept, with tales of bullying and harrassment all too common. Lacking in any and all perspective of what is happening on the office floors of their company, management are too busy day dreaming about a make believe image they have built up of the company and are surrounding themselves with, we don't need REDACTED Benefits and Sunflower seeds posted to our doors, we need change.. Get a grip, go and work with the people you employ. Weed out the slackers, and embrace the select few who are screaming for an opportunity to develop and learn.","S227N"
"3","They have events such as ugly sweater day, where they give gift cards to employees.. Expect you to take part in all REDACTED sponsored activities, on your own time.. Please treat all employees fairly, and remember why you hired them in the first place.","N333E"
"4","International opportunities for consultants employees. Career programm and compensation package. NA","K503P"
"5","Great place to learn, great business exposure. Long working hours, average compensation. NA","J845U"
"6","You get freedom to work and good opportunities to learn.. sometimes it gets too hectic.. NA","O834K"
"7","Useless and a cheat company! It lies to its clients and employess alike!. Its the worst company ever! Do not work here and do not fall in their trap! Cheap Indian MD!!!. You are a cheat! A liar !! And a thug! You must be raided by the labour and fined and shut down forever!","S167E"
"8","Great forward thinking attitude with excellent employee support.. The company is small and probably always will be.. NA","M198N"
"9","The overall compensation package is very competitive. The firm made some excellent strategic decisions to remain afloat in a very difficult environment. The work is pretty interesting, and the people are awesome. Some of the great things about the firm are the accessibilty of partners and knowledge capital.. They often talk about maintaining work-life balance. The fact is, there is no such thing. In order to over-deliver at the client and work on side projects(which you must do to get promoted), many colleagues end up putting in 100+ hours a week.The also talk about REDACTED being a transparent firm, I found this to not be the case either from partner leads (regarding my performance) or from leadership (regarding certain strategic decisions).. Please practice what you preech regarding transparency.","E201S"
"10","People here are hired from good colleges and average age is in 20's except the ceo :P well he has heart and passion of 20 years old.CEO is very good at fooling.works fine for him :). First of all no proper washroom for girls.Second company is just not growing it is his retirment policy. Dear fellow nitians you just don't go there if you expect some passion like ola or commonfllor or housing it is just not right place.People just come and go.Employes average stay is here for 3 months that is every month 2 of people leave this place.Work is so freakin repetitive that you might just want to play mario.Its negative vibe all around.once a person reviewed about this company with zero stars he was forced to remove it and to neutralise the rating ceo himself had to put reviews onto glassdoor.Don't you wonder if you have a five star review following this.you can talk to any employee any one vibes are just not right my friend.""And it as at basment not at MG road CEO is fooling you. :P. Please don't rob bright talented grads of their future. Tell them honestly what you do. it is just not three type of work you do. Its just data pulling . Hire someone after he does 12th. I think you know that you train a monkey for 7 days he will get your job done why hire engineers. Why ?","F945P"
"11","Environment friendlyTimely promotionLearn as much as possibleLots of opportunity to change profileOpen door policy with managementFlexible timings. One has to be able to manage high workloads and use the team to each one's strengths. You have to be a team player else you can get overwhelmed.. NA","J920O"
"12","Good working environment and atmosphere. Needs to improve policies and procedures. NA","O984I"
"13","Relaxed Work Culture and visibility. Pay not competitivePoor benefits packagePoor increments/bonusNo specialized skills learnt. NA","F604E"
"14","Product Training.Challenging work environmentNumerous Employee benefits.. No cons observed in my tenure... Keep up the good work.","Y348J"
"15","You will work with some great people, very knowledgable about their specific discipline. The engineering work was hands on and very results based. Very opinionated crew, not open to change to try and increase profits. Be more open to new ideas/ types of people.","P595S"
"16","Great pay, fun company with great regionals. I worked for A MC for 4 years. I left to explore an opportunity with Alliance residential and then decided to come back to AMC because I missed it! Can be high stress at times and have appreciated the opportunities to advance and grow.. Have worked for a shady manager and feel like there should be stricter rules in place so fair housing isn't an issue.. Ya'll are great! Thanks for the opportunities!","Z508S"
"17","Nothing to say about this Company. Everything is fake and all of them are fraudsters. All wrong information, don't pay salary at all, 10hrs working, no benefits. They promise to pay huge salary, bonus and incentives. Infact, they don't pay at all. They are bankrupt still they wanted to cheat people by hiring. They are not genuine at all. They started the company to cheat and earn huge money.Any company who works with them will suffer.PLEASE DO NOT JOIN IN THIS COMPANY. Be carefulI don't want anyone else to suffer joining in this Company.No one can give positive review about this Company, if there are then it's fake?. Hahaha joining in this Company itself is a big challenge. No proper communication and all of them are fraudsters.. Do not play with the people in the market. Everyone has their family and commitments to take care.This is not the way to run the company by cheating people.","O649Q"
"18","They're very understanding when it comes to doctors appointments. They don't really have an absence policy, just be an adult and show up to work.. No paid time off, no room for advancement. Must take the company insurance, no overtime, and underpaid for work requirements.. Raise the hourly rate, or make it salary. $17 an hour to be doing what we do as a General Clerk III is not a fair wage. $20 minimum makes more sense considering the amount of work we have and how detail orientated it is, especially with no paid leave.","D918A"
"19","Customer value is important in all projects. Culture is friendly and allows experimentation. Training to consultants and process improvements. NA","X269R"
"20","DoD contracts with good salaries. Limited growth, no room for advancement. More business development","P298G"
"21","--> It is a flat organization with easy access to senior management for feedback or engagement--> Lots of opportunities to showcase skills on external & internal projects--> Early responsibility is given to younger consultants--> Quality oriented in terms of project delivery--> Diverse & fun team culture--> Career & business growth prospects. --> Slightly longer project durations but it provides an end to end perspective to consultants. NA","Q920T"
"22","Diverse solutions, exposure to UAE and other ME markets. Long hours, bad culture, bad compensation. Pay people well and recruit more people","K219L"
"23","I enjoy every part of my job / work life balance at CMC. The team atmosphere fosters high performance and the people surrounding me are the best in the business. Couldn't ask for a stronger group of people to call colleagues and friends. CMC is industry leader in healthcare recruitment with a progressive business model, compared to other agencies Ive worked for in the past commissions are competitive and very lucrative. Expectations are high but so are the results. Ive watched the company make tremendous growth and am very excited for future business projects currently in the works. Pros-pay, location, health insurance fully paid, training, autonomy, fun culture, creative freedom, & no corporate bs.. None at all, very satisfied.. Thank you!","W572C"
"24","Union provides protection for grad student workers, good benefits, decent stipends.. The workload is heavier than at many doctoral programs and means most students take longer than average to defend.. NA","P292D"
