"EMP_Engagement_1","EMP_Engagement_2","EMP_Engagement_3","EMP_Engagement_4","EMP_Engagement_5","average_weekly_hours"
3,3,3,3,4,NA
3,2,2,3,2,23
3,3,2,1,2,18
3,3,2,3,2,30
2,2,2,2,4,40
2,3,3,NA,3,40
2,3,2,NA,3,15
3,3,2,3,3,28
4,NA,2,2,3,15
2,2,3,2,NA,15
2,NA,2,2,3,23
3,3,2,3,2,21
2,3,3,2,3,34
NA,2,2,3,2,31
2,2,3,2,2,21
3,2,2,2,3,NA
3,2,3,NA,3,26
3,2,2,2,2,17
2,3,3,1,2,24
3,3,2,3,4,36
2,2,NA,2,3,30
3,3,2,3,3,32
2,2,2,3,3,38
3,2,3,2,3,31
2,2,3,2,3,21
2,3,3,3,3,18
2,2,2,2,2,37
2,3,3,2,3,21
3,3,2,2,3,NA
3,3,3,2,3,21
2,3,3,3,2,26
2,2,2,3,2,19
3,3,3,2,1,28
2,3,3,2,2,28
2,3,3,2,4,19
NA,2,3,2,4,36
3,2,2,2,2,24
3,3,3,2,2,15
3,3,3,3,2,25
3,3,2,3,3,37
NA,2,4,3,2,23
2,3,3,3,2,24
2,3,2,3,3,15
3,2,2,2,2,15
2,3,3,3,3,31
3,2,2,1,2,33
3,2,4,3,2,28
3,2,3,3,2,23
3,4,3,2,4,21
2,3,2,3,1,33
3,2,2,2,3,26
2,2,3,3,3,25
2,2,2,2,3,29
3,3,2,2,3,33
2,2,2,3,3,35
3,2,2,3,2,19
3,3,2,NA,3,31
3,2,3,2,2,20
3,2,2,3,3,22
2,2,2,2,3,25
4,2,2,2,3,31
2,3,3,2,2,21
3,3,2,2,3,29
3,3,3,3,4,25
3,3,2,3,2,18
4,2,3,2,2,22
2,2,2,2,3,20
3,3,3,3,2,32
3,3,2,2,3,24
3,3,2,2,2,21
3,2,3,2,2,23
2,2,2,3,NA,15
3,2,2,3,2,20
3,2,3,3,NA,18
2,3,3,3,3,32
4,3,3,3,2,28
2,3,3,3,3,22
1,2,3,3,3,23
3,3,3,2,1,34
3,3,NA,3,2,34
3,2,3,3,2,27
2,3,4,2,4,41
1,3,2,2,3,37
2,3,2,2,2,22
3,2,3,3,3,15
NA,2,3,2,3,27
2,3,NA,3,2,25
2,2,3,3,3,34
3,3,2,3,2,30
1,3,3,2,2,15
NA,3,3,3,3,30
3,3,3,3,3,18
4,2,2,2,3,30
2,2,3,2,2,23
3,3,NA,3,3,23
2,2,2,3,3,24
3,2,2,3,4,36
3,3,3,2,4,49
1,2,3,3,2,26
3,3,1,2,3,26
2,2,2,NA,3,21
3,2,3,2,2,29
3,2,2,2,2,27
2,2,2,3,4,NA
2,2,2,3,2,15
3,3,2,2,2,34
2,2,3,3,3,20
2,2,2,4,2,31
2,1,3,2,3,NA
2,2,NA,2,3,27
3,3,2,NA,2,16
3,2,2,2,3,32
3,3,3,2,2,25
3,2,3,3,1,23
2,2,2,3,1,32
3,2,3,3,3,28
3,3,2,4,2,18
2,2,2,3,4,38
3,3,3,2,2,NA
3,2,3,2,3,20
3,2,3,3,2,26
2,2,2,2,2,22
3,4,2,2,2,15
2,2,3,3,3,29
2,NA,2,3,2,30
2,3,2,2,3,15
2,3,2,3,4,36
2,3,3,3,3,19
3,1,2,2,2,18
3,3,2,3,2,18
3,2,2,2,3,18
NA,3,2,2,4,31
3,3,3,2,2,24
3,3,3,3,3,21
3,2,2,NA,3,25
3,2,3,2,3,31
2,3,2,3,2,15
3,2,3,3,2,22
2,NA,3,2,3,29
3,2,3,2,2,25
2,2,3,3,2,26
2,3,3,2,3,15
2,2,2,2,2,26
3,2,2,3,4,36
3,2,2,3,2,21
1,2,3,3,3,26
3,3,2,2,2,21
3,2,3,3,3,25
2,2,3,3,2,15
3,2,3,3,3,21
