"X","aspectsRecog","aspectsSubst","aspectsAdvance","aspectsComp","aspectsControlAmount","aspectsControlHow","aspectsRelations","aspectsSecurity","aspectsRespons","aspectsTasks","aspectsChallenge","aspectsSkill","aspectsTravel","aspectsEval","aspectsBalance","lifeSatIdeal","lifeSatExcellent","lifeSatHappy","lifeSatThings","lifeSatChange","lifeSatRespect","lifeSatFamily","lifeSatFaith","lifeSatHelp","age","gradNY","big4Frst","gender","salary","edu_under_3_TEXT","children","totalYrsWorked","totalYrsWorkedBig","gradNonLawNY","gradLaw","big4Now","empStatus","big4Ever","yearGroup","jobSatScore","lifeSatScore","yearsWorkedGroups","salaryContrasts","partTimeDummy"
1,"Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Neither disagree nor agree","Neither disagree nor agree",28,"Yes","No","Male","$50,000-$59,000",2009,0,3,0,"1","0",0,"Employed full time","No","1980+",0.921555038351725,-0.426805911554951,"Less than 15","$50,000-$59,000",0
2,"Satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither disagree nor agree","Strongly agree","Strongly agree","Somewhat disagree",26,"No","Yes","Male","$70,000-$79,000",2011,0,3,3,"0","0",1,"Employed full time","Yes","1980+",0.0771320698817897,0.81180576999609,"Less than 15","$70,000-$79,000",0
3,"Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat disagree",27,"No","No","Female","$70,000-$79,000",2009,0,5,3,"0","0",1,"Employed full time","Yes","1980+",0.286799142902674,-0.0930349618782426,"Less than 15","$70,000-$79,000",0
4,"Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Neither disagree nor agree",24,"No","Yes","Female","$70,000-$79,000",2012,0,2,2,"0","0",1,"Employed full time","Yes","1980+",0.168588051324834,0.230262396123003,"Less than 15","$70,000-$79,000",0
6,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither disagree nor agree","Agree",26,"No","Yes","Male","$80,000-$89,000",2010,0,4,4,"0","0",1,"Employed full time","Yes","1980+",0.960621484144423,0.770830125092636,"Less than 15","$80,000-$89,000",0
8,"Dissatisfied","Somewhat dissatisfied","Dissatisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither disagree nor agree","Neither disagree nor agree","Strongly agree","Strongly agree","Agree",46,"No","Yes","Male","$200,000-$299,999",1990,3,24,7,"0","0",0,"Employed full time","Yes","1980+",-2.7469597028905,-0.665008448196387,"More than 20","$200,000-$299,999",0
9,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Somewhat agree",35,"Yes","Yes","Female","$200,000-$299,999",2001,2,12,6,"1","0",0,"Employed full time","Yes","1980+",1.01678284019254,0.844263179362549,"Less than 15","$200,000-$299,999",0
10,"Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree",43,"No","No","Male","$300,000-$499,999",1993,0,21,0,"0","0",0,"Employed full time","No","1980+",0.399043101662091,0.774610187613051,"More than 20","$300,000-$499,999",0
11,"Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Somewhat dissatisfied","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",39,"Yes","No","Male","$200,000-$299,999",1997,2,15,0,"1","0",0,"Employed full time","No","1980+",1.00368194253877,0.110013113927293,"15 to 20","$200,000-$299,999",0
12,"Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Neither disagree nor agree","Somewhat agree","Agree","Agree","Somewhat agree","Agree","Strongly agree","Strongly agree","Agree",46,"Yes","Yes","Male","$150,000-$199,999",1990,2,23,4,"1","0",0,"Employed full time","Yes","1980+",-0.295305216199377,-0.308926947453642,"More than 20","$150,000-$199,999",0
