sno,Year,Month,Population_Avg_Income,Population_Avg_Age,County
1,2009,1,103443.6128,35.743605,Suffolk County
2,2009,2,101405.8595,33.13506198,Suffolk County
3,2009,3,103063.5299,33.51325272,Suffolk County
4,2009,4,103315.8499,33.82740036,Suffolk County
5,2009,5,100386.2294,34.72061318,Suffolk County
6,2009,6,100252.3359,33.36681697,Suffolk County
7,2009,7,104124.4326,32.34471211,Suffolk County
8,2009,8,101263.8648,32.06504689,Suffolk County
9,2009,9,100458.2742,32.55099622,Suffolk County
10,2009,10,100331.9314,35.73757786,Suffolk County
11,2009,11,103876.778,34.41033766,Suffolk County
12,2009,12,104414.8261,32.69699947,Suffolk County
13,2010,1,100548.5887,34.65182949,Suffolk County
14,2010,2,101321.8711,32.43896037,Suffolk County
15,2010,3,100162.9544,32.02313529,Suffolk County
16,2010,4,103255.8996,35.34461068,Suffolk County
17,2010,5,104688.1211,33.43861214,Suffolk County
18,2010,6,100997.0004,33.69743885,Suffolk County
19,2010,7,100549.0644,35.62011756,Suffolk County
20,2010,8,101928.804,35.49107267,Suffolk County
21,2010,9,102213.3107,34.29183329,Suffolk County
22,2010,10,101327.1678,34.403982,Suffolk County
23,2010,11,101654.838,35.93986505,Suffolk County
24,2010,12,100662.6793,33.41874399,Suffolk County
25,2011,1,100446.4694,32.43105309,Suffolk County
26,2011,2,104879.9258,32.0848327,Suffolk County
27,2011,3,100260.4227,33.71234236,Suffolk County
28,2011,4,104457.0349,33.21454015,Suffolk County
29,2011,5,101149.6802,33.2714048,Suffolk County
30,2011,6,100966.3037,35.1859804,Suffolk County
31,2011,7,101552.1471,34.72329411,Suffolk County
32,2011,8,103217.538,33.87261217,Suffolk County
33,2011,9,104413.7826,35.86878333,Suffolk County
34,2011,10,102417.7744,34.76565511,Suffolk County
35,2011,11,101692.9015,33.97889484,Suffolk County
36,2011,12,104229.3017,32.85188728,Suffolk County
37,2012,1,103607.5245,35.36359664,Suffolk County
38,2012,2,101382.4393,34.38414447,Suffolk County
39,2012,3,103006.9678,32.66877781,Suffolk County
40,2012,4,103874.1831,32.43045072,Suffolk County
41,2012,5,103650.1224,34.67544281,Suffolk County
42,2012,6,102561.0809,33.99729475,Suffolk County
43,2012,7,100732.3318,32.33363194,Suffolk County
44,2012,8,100506.1043,32.08203688,Suffolk County
45,2012,9,103244.6357,34.95249106,Suffolk County
46,2012,10,102803.8393,33.05244594,Suffolk County
47,2012,11,103317.0909,33.41411637,Suffolk County
48,2012,12,104943.753,35.41272063,Suffolk County
49,2013,1,104778.9108,34.50309193,Suffolk County
50,2013,2,103681.9848,35.16642363,Suffolk County
51,2013,3,103382.4438,32.45282106,Suffolk County
52,2013,4,103047.9227,34.57911092,Suffolk County
53,2013,5,104504.3012,35.00380009,Suffolk County
54,2013,6,102508.6956,35.76831229,Suffolk County
55,2013,7,100067.8547,35.44818135,Suffolk County
56,2013,8,100706.9369,34.94682276,Suffolk County
57,2013,9,104308.4012,34.90489944,Suffolk County
58,2013,10,103441.1602,35.03019635,Suffolk County
59,2013,11,103839.917,32.25140228,Suffolk County
60,2013,12,101342.6147,34.92817849,Suffolk County
61,2014,1,102337.1794,35.62824587,Suffolk County
62,2014,2,100620.4732,33.18312549,Suffolk County
63,2014,3,102937.4328,35.55208224,Suffolk County
64,2014,4,104628.3198,35.80836207,Suffolk County
65,2014,5,101924.8153,33.48846904,Suffolk County
66,2014,6,100020.4156,33.11959746,Suffolk County
67,2014,7,100689.2284,34.53378235,Suffolk County
68,2014,8,104705.7451,34.3418437,Suffolk County
69,2014,9,104103.9327,34.18730656,Suffolk County
70,2014,10,100275.4643,34.64591986,Suffolk County
71,2014,11,101087.3616,35.00522435,Suffolk County
72,2014,12,102611.434,34.10925755,Suffolk County
73,2015,1,100891.8638,35.7043511,Suffolk County
74,2015,2,104069.4326,33.35463686,Suffolk County
75,2015,3,101134.0123,32.23162811,Suffolk County
76,2015,4,101960.521,32.2780047,Suffolk County
77,2015,5,102268.4833,32.88996228,Suffolk County
78,2015,6,102483.9463,32.23107127,Suffolk County
79,2015,7,104705.0128,32.00398368,Suffolk County
80,2015,8,100943.7412,34.26472584,Suffolk County
81,2015,9,104503.0826,33.8345791,Suffolk County
82,2015,10,102314.7156,35.91390827,Suffolk County
83,2015,11,102410.236,34.0275902,Suffolk County
84,2015,12,104545.1166,34.84838916,Suffolk County
85,2016,1,101552.4679,32.97726347,Suffolk County
86,2016,2,104669.8872,32.75229649,Suffolk County
87,2016,3,104915.2494,35.80005767,Suffolk County
88,2016,4,103827.2694,35.79641109,Suffolk County
89,2016,5,104168.4387,32.0741065,Suffolk County
90,2016,6,102359.1827,32.39789036,Suffolk County
91,2016,7,102049.3934,34.21682253,Suffolk County
92,2016,8,102877.8375,32.07202103,Suffolk County
93,2016,9,101258.5104,34.92523625,Suffolk County
94,2016,10,101481.3992,32.17537906,Suffolk County
95,2016,11,103102.7962,33.98267717,Suffolk County
96,2016,12,102681.2226,32.68569351,Suffolk County
97,2017,1,100215.4194,33.8938537,Suffolk County
98,2017,2,100382.2662,34.91776559,Suffolk County
99,2017,3,104638.2701,35.54254001,Suffolk County
100,2017,4,104115.1572,34.99403663,Suffolk County
101,2017,5,100788.5381,32.19671505,Suffolk County
102,2017,6,102921.8003,34.95046635,Suffolk County
103,2017,7,104724.0168,32.49871991,Suffolk County
104,2017,8,101504.6743,33.81016357,Suffolk County
105,2017,9,102357.6198,33.89952075,Suffolk County
106,2017,10,100931.4749,35.98458632,Suffolk County
107,2017,11,103210.736,32.06267351,Suffolk County
108,2017,12,101313.8077,34.94129369,Suffolk County
1,2009,1,97661.31023,35.58546337,Cook County
2,2009,2,95653.86222,33.5045896,Cook County
3,2009,3,99670.39301,33.392287,Cook County
4,2009,4,98366.6454,33.4517089,Cook County
5,2009,5,99978.40974,34.29365331,Cook County
6,2009,6,99472.5282,34.24303436,Cook County
7,2009,7,95759.63042,33.72893909,Cook County
8,2009,8,97321.62845,36.23176762,Cook County
9,2009,9,97502.4214,35.48167244,Cook County
10,2009,10,96694.31752,36.01180433,Cook County
11,2009,11,96871.01802,33.89717935,Cook County
12,2009,12,95248.12727,34.32894655,Cook County
13,2010,1,97787.03082,33.73183178,Cook County
14,2010,2,98921.80174,33.06784424,Cook County
15,2010,3,95985.49312,35.67779305,Cook County
16,2010,4,96886.60861,34.37689346,Cook County
17,2010,5,96184.50336,35.52334358,Cook County
18,2010,6,99282.70487,33.33558666,Cook County
19,2010,7,97707.75826,36.61619858,Cook County
20,2010,8,99097.65573,36.60169877,Cook County
21,2010,9,95248.16138,36.50201656,Cook County
22,2010,10,98414.23522,33.02361747,Cook County
23,2010,11,95609.51984,34.72601064,Cook County
24,2010,12,96632.83466,34.90465725,Cook County
25,2011,1,95477.22414,33.05825215,Cook County
26,2011,2,96166.73044,36.23988293,Cook County
27,2011,3,98542.05716,34.90155776,Cook County
28,2011,4,99796.71784,35.04769688,Cook County
29,2011,5,97587.03257,33.20492811,Cook County
30,2011,6,98466.851,35.39629195,Cook County
31,2011,7,96640.73438,34.05224597,Cook County
32,2011,8,98582.38838,34.24019808,Cook County
33,2011,9,96392.4136,34.85422961,Cook County
34,2011,10,95334.94979,36.57868354,Cook County
35,2011,11,97558.52773,33.59192835,Cook County
36,2011,12,98556.64167,34.47032901,Cook County
37,2012,1,99796.9999,36.65232646,Cook County
38,2012,2,96482.60893,34.09583793,Cook County
39,2012,3,97566.78773,33.3462111,Cook County
40,2012,4,95783.05696,36.44118739,Cook County
41,2012,5,97904.32242,35.67581826,Cook County
42,2012,6,98550.16016,35.81810306,Cook County
43,2012,7,95877.76761,35.51690191,Cook County
44,2012,8,96274.27598,33.21589779,Cook County
45,2012,9,98248.9398,33.05220254,Cook County
46,2012,10,99865.3161,35.18719364,Cook County
47,2012,11,98921.78543,34.16549948,Cook County
48,2012,12,96916.09076,35.72227716,Cook County
49,2013,1,95384.0114,34.37074184,Cook County
50,2013,2,97120.45708,36.16904394,Cook County
51,2013,3,97809.63398,36.45561949,Cook County
52,2013,4,97053.45078,33.58780309,Cook County
53,2013,5,96967.00445,34.11202889,Cook County
54,2013,6,95540.32706,36.57186873,Cook County
55,2013,7,95893.93242,33.01657354,Cook County
56,2013,8,97685.02231,35.10420159,Cook County
57,2013,9,98881.08619,33.19369002,Cook County
58,2013,10,98128.69738,35.93619932,Cook County
59,2013,11,97639.73444,36.23639151,Cook County
60,2013,12,98817.71419,36.71341001,Cook County
61,2014,1,96761.44206,36.53365768,Cook County
62,2014,2,99809.10535,36.89933688,Cook County
63,2014,3,95964.08258,34.94293865,Cook County
