"teams","homeTeam","awayTeam","homeScore","awayScore"
"Abilene Christian","Colorado State","Hawaii","34","43"
"Air Force","Massachusetts","Duquesne","63","15"
"Akron","New Mexico State","Wyoming","7","29"
"Alabama","Alabama-Birmingham","Savannah State","52","0"
"Alabama-Birmingham","San Jose State","California-Davis","38","44"
"Alabama A&M","Connecticut","Central Florida","17","56"
"Alabama State","Louisiana-Monroe","Southeastern Louisiana","34","31"
"Albany","Minnesota","New Mexico State","48","10"
"Alcorn State","Purdue","Northwestern","27","31"
"Appalachian State","Oklahoma State","Missouri State","58","17"
"Arizona","Texas A&M","Northwestern State","59","7"
"Arizona State","Utah","Weber State","41","10"
"Arkansas","Tulane","Wake Forest","17","23"
"Arkansas-Pine Bluff","Colorado","Colorado State","45","13"
"Arkansas State","Duke","Army","34","14"
"Army","Eastern Michigan","Monmouth","51","17"
"Auburn","Michigan State","Utah State","38","31"
"Austin Peay","Nevada","Portland State","72","19"
"Ball State","Stanford","San Diego State","31","10"
"Baylor","Western Michigan","Syracuse","42","55"
"Boise State","Wisconsin","Western Kentucky","34","3"
"Boston College","Air Force","Stony Brook","38","0"
"Bowling Green State","Alabama","Louisville","51","14"
"Brigham Young","Arizona State","Texas-San Antonio","49","7"
"Buffalo","Arkansas","Eastern Illinois","55","20"
"California","Arkansas State","Southeast Missouri State","48","21"
"California-Davis","Auburn","Washington","21","16"
"Campbell","Baylor","Abilene Christian","55","27"
"Central Arkansas","Troy","Boise State","20","56"
"Central Florida","Boston College","Massachusetts","55","21"
"Central Michigan","Arizona","Brigham Young","23","28"
"Charleston Southern","California","North Carolina","24","17"
"Charlotte","Charlotte","Fordham","34","10"
"Chattanooga","UCLA","Cincinnati","17","26"
"Cincinnati","Clemson","Furman","48","7"
"Citadel","Florida","Charleston Southern","53","6"
"Clemson","Fresno State","Idaho","79","13"
"Coastal Carolina","Georgia","Austin Peay","45","0"
"Colorado","Georgia Southern","South Carolina State","37","6"
"Colorado State","Georgia Tech","Alcorn State","41","0"
"Connecticut","Hawaii","Navy","59","41"
"Drake","Rice","Houston","27","45"
"Duke","Illinois","Kent State","31","24"
"Duquesne","Florida International","Indiana","28","38"
"East Carolina","Iowa","Northern Illinois","33","7"
"East Tennessee State","Kansas State","South Dakota","27","24"
"Eastern Illinois","Kentucky","Central Michigan","35","20"
"Eastern Kentucky","South Alabama","Louisiana Tech","26","30"
"Eastern Michigan","Miami (OH)","Marshall","28","35"
"Eastern Washington","Maryland","Texas","34","29"
"Florida","Mississippi","Texas Tech","47","27"
"Florida A&M","Mississippi State","Stephen F. Austin","63","6"
"Florida Atlantic","Missouri","Tennessee-Martin","51","14"
"Florida International","North Carolina State","James Madison","24","13"
"Florida State","North Texas","Southern Methodist","46","23"
"Fordham","Texas-El Paso","Northern Arizona","10","30"
"Fresno State","Notre Dame","Michigan","24","17"
"Furman","Ohio State","Oregon State","77","31"
"Georgia","Oklahoma","Florida Atlantic","63","14"
"Georgia Southern","Oregon","Bowling Green State","58","24"
"Georgia State","Penn State","Appalachian State","45","38"
"Georgia Tech","Pittsburgh","Albany","33","7"
"Hawaii","Rutgers","Texas State","35","7"
"Houston","South Carolina","Coastal Carolina","49","15"
"Houston Baptist","Southern California","Nevada-Las Vegas","43","21"
"Idaho","Southern Mississippi","Jackson State","55","7"
"Idaho State","Texas Christian","Southern","55","7"
"Illinois","Toledo","Virginia Military Institute","66","3"
"Illinois State","Tulsa","Central Arkansas","38","27"
"Indiana","Vanderbilt","Middle Tennessee State","35","7"
"Iowa","Temple","Villanova","17","19"
"Iowa State","Virginia","Richmond","42","13"
"Jackson State","Wyoming","Washington State","19","41"
"James Madison","West Virginia","Tennessee","40","14"
"Kansas","Louisiana State","Miami (FL)","33","17"
"Kansas State","East Carolina","North Carolina A&T","23","28"
"Kent State","Florida State","Virginia Tech","3","24"
"Kentucky","Southern Methodist","Texas Christian","12","42"
"Lafayette","Akron","Morgan State","41","7"
"Lamar","Alabama","Arkansas State","57","7"
"Lehigh","Charlotte","Appalachian State","9","45"
"Louisiana","Arizona State","Michigan State","16","13"
"Louisiana-Monroe","Auburn","Alabama State","63","9"
"Louisiana State","Texas-San Antonio","Baylor","20","37"
"Louisiana Tech","Boise State","Connecticut","62","7"
"Louisville","Temple","Buffalo","29","36"
"Maine","Brigham Young","California","18","21"
"Marshall","Central Florida","South Carolina State","38","0"
"Maryland","Miami (OH)","Cincinnati","0","21"
"Massachusetts","Texas A&M","Clemson","26","28"
"Memphis","Coastal Carolina","Alabama-Birmingham","47","24"
"Miami (FL)","Nebraska","Colorado","28","33"
"Miami (OH)","Colorado State","Arkansas","34","27"
"Michigan","Northwestern","Duke","7","21"
"Michigan State","East Carolina","North Carolina","41","19"
