"pros","cons","advice","rating","organization"
"Good learning opportunities - a mixture of strategy and banking technology projectsSmart people to work with and very collaborative environment","Lack of structure sometimes and unplanned",,"4.0","Cedar Management Consulting"
"- Excellent projects- Several growth opportunities","- Work life balance is considerably poor as compared to industry standards",,"3.0","Cedar Management Consulting"
"Exposure to many different sectors","Often requires you to stay late",,"4.0","Cedar Management Consulting"
"Like the co-worker I work with.","Takes more time than expected","Listen to the workers doing the hands on work.","3.0","Cedar Management Consulting"
"You get good responsibility and get to work on international projects. The office location is good and colleagues are nice people to work with","Their partners in Dubai should be given sufficient resources in their office. It gets difficult to work on their whims and fancies from the Mumbai office, in their time zone and at their convenience.If this aspect is resolved and employees are made to work hard on projects rather than on internal documents(which are of no use), then I think this place can be a good place to work at","Please listen to the plight of employees. One particular senior partner in Dubai is ruining the company culture and is the reason why most people get frustrated and quit.","3.0","Cedar Management Consulting"
"A good learning experience, team is supportive","Long work hours, work may get monotonous and boring, culture is not condusive for career growth, employees are not treated well",,"2.0","Cedar Management Consulting"
"* Surprisingly, maybe coz they dont know how poorly the place is run, Cedar does get some cool clients for their size and markets. Impresive client list that you can show off to next recruiter","* Arrogance of senior level folks* Disregard for learning opportunities for analysts* low pay and ridiculous travel demands, with low-grade worker-level accomodation* new strategy from MD every 3 monthsSeriously- the positiverecommendations you see on front page are fake. They are clearly written by management. Work with them for short time and you will come to know their writing style...then you read it here also. This isnt the worst ever place to work, but they dont value junior staff. its that simple. All of the project delivery relies on you, but no one will treat you like that. Just know that, and read all the reviews before you make your decision to recruit on campus at SP Jain or other B Schools","Implement project reviews that has a check-in with all project teams weekly, so no EM can let a project languish and no Director can come in last day and demand all new work. This is crazy and SO common. Also, charge more from clients- stop competing 100% on price coz then margins, bilable time, and accommodation are bad and consultants are the ones who suffer.","2.0","Cedar Management Consulting"
"I am working in Cedar from last 4+ years.Here I found excellent working environment, nice peers and superiors. Management always supports the employees to learn about the latest trends/technologies in the markets.Also there are opportunities to travel around the world for client projects.","None that I can think off.","Here I am getting chances to meet industry leaders .That itself is a great achievement for me.","5.0","Cedar Management Consulting"
"Immense learning experience.You will gain lot of knowledge and expertise.","Best company for learning person.",,"4.0","Cedar Management Consulting"
"First thing you realize when you first enter the office is its different, especially, if you have previously worked in a big organization. One of the best part is you get to work and interact directly with the top management.Good learning curve as you grow both professionally and personally.Good or bad - working here will be an experience and definitely worth it.","Space crunch; Can be more organized",,"4.0","Cedar Management Consulting"
