"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
41,"Yes","Travel_Rarely",1102,"Sales",1,"College","Life_Sciences","Medium","Female",94,"High","2","Sales_Executive","Very_High","Single",5993,19479,8,"Yes",11,"Excellent","Low","0",8,"0","Bad",6,4,0,5
49,"No","Travel_Frequently",279,"Research_Development",8,"Below_College","Life_Sciences","High","Male",61,"Medium","2","Research_Scientist","Medium","Married",5130,24907,1,"No",23,"Outstanding","Very_High","1",10,"3","Better",10,7,1,7
37,"Yes","Travel_Rarely",1373,"Research_Development",2,"College","Other","Very_High","Male",92,"Medium","1","Laboratory_Technician","High","Single",2090,2396,6,"Yes",15,"Excellent","Medium","0",7,"3","Better",0,0,0,0
33,"No","Travel_Frequently",1392,"Research_Development",3,"Master","Life_Sciences","Very_High","Female",56,"High","1","Research_Scientist","High","Married",2909,23159,1,"Yes",11,"Excellent","High","0",8,"3","Better",8,7,3,0
27,"No","Travel_Rarely",591,"Research_Development",2,"Below_College","Medical","Low","Male",40,"High","1","Laboratory_Technician","Medium","Married",3468,16632,9,"No",12,"Excellent","Very_High","1",6,"3","Better",2,2,2,2
32,"No","Travel_Frequently",1005,"Research_Development",2,"College","Life_Sciences","Very_High","Male",79,"High","1","Laboratory_Technician","Very_High","Single",3068,11864,0,"No",13,"Excellent","High","0",8,"2","Good",7,7,3,6
59,"No","Travel_Rarely",1324,"Research_Development",3,"Bachelor","Medical","High","Female",81,"Very_High","1","Laboratory_Technician","Low","Married",2670,9964,4,"Yes",20,"Outstanding","Low","3",12,"3","Good",1,0,0,0
30,"No","Travel_Rarely",1358,"Research_Development",24,"Below_College","Life_Sciences","Very_High","Male",67,"High","1","Laboratory_Technician","High","Divorced",2693,13335,1,"No",22,"Outstanding","Medium","1",1,"2","Better",1,0,0,0
38,"No","Travel_Frequently",216,"Research_Development",23,"Bachelor","Life_Sciences","Very_High","Male",44,"Medium","3","Manufacturing_Director","High","Single",9526,8787,0,"No",21,"Outstanding","Medium","0",10,"2","Better",9,7,1,8
36,"No","Travel_Rarely",1299,"Research_Development",27,"Bachelor","Medical","High","Male",94,"High","2","Healthcare_Representative","High","Married",5237,16577,6,"No",13,"Excellent","Medium","2",17,"3","Good",7,7,7,7
